qseqid	sseqid	qlen	slen	sstart	send	evalue	mismatch
0_CP059547-3_18	1_CP059546-3_43	32	32	32	4	6.62e-11	0
0_CP059547-3_18	0_CP059547-3_43	32	32	32	4	6.62e-11	0
0_CP059547-3_26	1_CP059546-3_26	32	32	1	32	1.42e-12	0
0_CP059547-3_26	0_CP059547-3_26	32	32	1	32	1.42e-12	0
0_CP059547-3_4	1_CP059546-3_4	32	32	1	32	1.42e-12	0
0_CP059547-3_4	0_CP059547-3_4	32	32	1	32	1.42e-12	0
0_CP059547-3_41	73_CP058289-3_29	32	32	1	32	1.42e-12	0
0_CP059547-3_41	60_CP065887-3_15	32	32	32	1	1.42e-12	0
0_CP059547-3_41	46_CP059040-3_29	32	32	1	32	1.42e-12	0
0_CP059547-3_41	45_CP046654-3_15	32	32	32	1	1.42e-12	0
0_CP059547-3_41	37_CP015121-3_29	32	32	1	32	1.42e-12	0
0_CP059547-3_41	16_CP059474-5_3	32	32	32	1	1.42e-12	0
0_CP059547-3_41	12_CP091334-5_15	32	32	32	1	1.42e-12	0
0_CP059547-3_41	45_CP045110-3_15	32	32	32	1	1.42e-12	0
0_CP059547-3_41	10_CP065432-4_29	32	32	1	32	1.42e-12	0
0_CP059547-3_41	1_CP059546-3_41	32	32	1	32	1.42e-12	0
0_CP059547-3_41	0_CP059547-3_41	32	32	1	32	1.42e-12	0
0_CP059547-3_0	1_CP059546-3_0	32	32	1	32	1.42e-12	0
0_CP059547-3_0	0_CP059547-3_0	32	32	1	32	1.42e-12	0
0_CP059547-3_34	73_CP058289-3_21	32	32	1	32	1.42e-12	0
0_CP059547-3_34	60_CP065887-3_23	32	32	32	1	1.42e-12	0
0_CP059547-3_34	46_CP059040-3_21	32	32	1	32	1.42e-12	0
0_CP059547-3_34	45_CP046654-3_23	32	32	32	1	1.42e-12	0
0_CP059547-3_34	37_CP015121-3_21	32	32	1	32	1.42e-12	0
0_CP059547-3_34	12_CP091334-5_23	32	32	32	1	1.42e-12	0
0_CP059547-3_34	45_CP045110-3_23	32	32	32	1	1.42e-12	0
0_CP059547-3_34	10_CP065432-4_21	32	32	1	32	1.42e-12	0
0_CP059547-3_34	1_CP059546-3_34	32	32	1	32	1.42e-12	0
0_CP059547-3_34	0_CP059547-3_34	32	32	1	32	1.42e-12	0
0_CP059547-3_37	73_CP058289-3_25	32	32	1	32	1.42e-12	0
0_CP059547-3_37	60_CP065887-3_19	32	32	32	1	1.42e-12	0
0_CP059547-3_37	46_CP059040-3_25	32	32	1	32	1.42e-12	0
0_CP059547-3_37	45_CP046654-3_19	32	32	32	1	1.42e-12	0
0_CP059547-3_37	37_CP015121-3_25	32	32	1	32	1.42e-12	0
0_CP059547-3_37	12_CP091334-5_19	32	32	32	1	1.42e-12	0
0_CP059547-3_37	45_CP045110-3_19	32	32	32	1	1.42e-12	0
0_CP059547-3_37	10_CP065432-4_25	32	32	1	32	1.42e-12	0
0_CP059547-3_37	1_CP059546-3_37	32	32	1	32	1.42e-12	0
0_CP059547-3_37	0_CP059547-3_37	32	32	1	32	1.42e-12	0
0_CP059547-3_44	73_CP058289-3_32	32	32	1	32	1.42e-12	0
0_CP059547-3_44	60_CP065887-3_12	32	32	32	1	1.42e-12	0
0_CP059547-3_44	46_CP059040-3_32	32	32	1	32	1.42e-12	0
0_CP059547-3_44	45_CP046654-3_12	32	32	32	1	1.42e-12	0
0_CP059547-3_44	37_CP015121-3_32	32	32	1	32	1.42e-12	0
0_CP059547-3_44	12_CP091334-5_12	32	32	32	1	1.42e-12	0
0_CP059547-3_44	45_CP045110-3_12	32	32	32	1	1.42e-12	0
0_CP059547-3_44	10_CP065432-4_32	32	32	1	32	1.42e-12	0
0_CP059547-3_44	1_CP059546-3_44	32	32	1	32	1.42e-12	0
0_CP059547-3_44	0_CP059547-3_44	32	32	1	32	1.42e-12	0
0_CP059547-3_1	1_CP059546-3_1	32	32	1	32	1.42e-12	0
0_CP059547-3_1	0_CP059547-3_1	32	32	1	32	1.42e-12	0
0_CP059547-3_19	1_CP059546-3_19	32	32	1	32	1.42e-12	0
0_CP059547-3_19	0_CP059547-3_19	32	32	1	32	1.42e-12	0
0_CP059547-3_43	73_CP058289-3_31	32	32	1	32	1.42e-12	0
0_CP059547-3_43	60_CP065887-3_13	32	32	32	1	1.42e-12	0
0_CP059547-3_43	46_CP059040-3_31	32	32	1	32	1.42e-12	0
0_CP059547-3_43	45_CP046654-3_13	32	32	32	1	1.42e-12	0
0_CP059547-3_43	37_CP015121-3_31	32	32	1	32	1.42e-12	0
0_CP059547-3_43	12_CP091334-5_13	32	32	32	1	1.42e-12	0
0_CP059547-3_43	45_CP045110-3_13	32	32	32	1	1.42e-12	0
0_CP059547-3_43	10_CP065432-4_31	32	32	1	32	1.42e-12	0
0_CP059547-3_43	1_CP059546-3_43	32	32	1	32	1.42e-12	0
0_CP059547-3_43	0_CP059547-3_43	32	32	1	32	1.42e-12	0
0_CP059547-3_43	1_CP059546-3_18	32	32	32	4	6.62e-11	0
0_CP059547-3_43	0_CP059547-3_18	32	32	32	4	6.62e-11	0
0_CP059547-3_53	73_CP058289-3_40	32	32	1	32	1.42e-12	0
0_CP059547-3_53	60_CP065887-3_4	32	32	32	1	1.42e-12	0
0_CP059547-3_53	58_CP033768-3_25	32	32	32	1	1.42e-12	0
0_CP059547-3_53	46_CP059040-3_40	32	32	1	32	1.42e-12	0
0_CP059547-3_53	45_CP046654-3_4	32	32	32	1	1.42e-12	0
0_CP059547-3_53	37_CP015121-3_40	32	32	1	32	1.42e-12	0
0_CP059547-3_53	12_CP091334-5_4	32	32	32	1	1.42e-12	0
0_CP059547-3_53	45_CP045110-3_4	32	32	32	1	1.42e-12	0
0_CP059547-3_53	10_CP065432-4_40	32	32	1	32	1.42e-12	0
0_CP059547-3_53	1_CP059546-3_53	32	32	1	32	1.42e-12	0
0_CP059547-3_53	0_CP059547-3_53	32	32	1	32	1.42e-12	0
0_CP059547-3_10	1_CP059546-3_10	32	32	1	32	1.42e-12	0
0_CP059547-3_10	0_CP059547-3_10	32	32	1	32	1.42e-12	0
0_CP059547-3_6	1_CP059546-3_6	32	32	1	32	1.42e-12	0
0_CP059547-3_6	0_CP059547-3_6	32	32	1	32	1.42e-12	0
0_CP059547-3_28	1_CP059546-3_28	32	32	1	32	1.42e-12	0
0_CP059547-3_28	1_CP059546-3_23	32	32	1	32	1.42e-12	0
0_CP059547-3_28	0_CP059547-3_23	32	32	1	32	1.42e-12	0
0_CP059547-3_28	0_CP059547-3_28	32	32	1	32	1.42e-12	0
0_CP059547-3_29	39_CP059300-1_9	32	32	1	32	1.42e-12	0
0_CP059547-3_29	1_CP059546-3_24	32	32	1	32	1.42e-12	0
0_CP059547-3_29	1_CP059546-3_29	32	32	1	32	1.42e-12	0
0_CP059547-3_29	0_CP059547-3_24	32	32	1	32	1.42e-12	0
0_CP059547-3_29	0_CP059547-3_29	32	32	1	32	1.42e-12	0
0_CP059547-3_45	73_CP058289-3_33	32	32	1	32	1.42e-12	0
0_CP059547-3_45	60_CP065887-3_11	32	32	32	1	1.42e-12	0
0_CP059547-3_45	46_CP059040-3_33	32	32	1	32	1.42e-12	0
0_CP059547-3_45	45_CP046654-3_11	32	32	32	1	1.42e-12	0
0_CP059547-3_45	37_CP015121-3_33	32	32	1	32	1.42e-12	0
0_CP059547-3_45	12_CP091334-5_11	32	32	32	1	1.42e-12	0
0_CP059547-3_45	45_CP045110-3_11	32	32	32	1	1.42e-12	0
0_CP059547-3_45	10_CP065432-4_33	32	32	1	32	1.42e-12	0
0_CP059547-3_45	1_CP059546-3_45	32	32	1	32	1.42e-12	0
0_CP059547-3_45	0_CP059547-3_45	32	32	1	32	1.42e-12	0
0_CP059547-3_35	73_CP058289-3_22	32	32	1	32	1.42e-12	0
0_CP059547-3_35	60_CP065887-3_22	32	32	32	1	1.42e-12	0
0_CP059547-3_35	46_CP059040-3_22	32	32	1	32	1.42e-12	0
0_CP059547-3_35	45_CP046654-3_22	32	32	32	1	1.42e-12	0
0_CP059547-3_35	37_CP015121-3_22	32	32	1	32	1.42e-12	0
0_CP059547-3_35	12_CP091334-5_22	32	32	32	1	1.42e-12	0
0_CP059547-3_35	45_CP045110-3_22	32	32	32	1	1.42e-12	0
0_CP059547-3_35	10_CP065432-4_22	32	32	1	32	1.42e-12	0
0_CP059547-3_35	1_CP059546-3_35	32	32	1	32	1.42e-12	0
0_CP059547-3_35	0_CP059547-3_35	32	32	1	32	1.42e-12	0
0_CP059547-3_11	1_CP059546-3_11	32	32	1	32	1.42e-12	0
0_CP059547-3_11	0_CP059547-3_11	32	32	1	32	1.42e-12	0
0_CP059547-3_56	73_CP058289-3_43	32	32	1	32	1.42e-12	0
0_CP059547-3_56	70_CP046536-1_26	32	32	32	1	1.42e-12	0
0_CP059547-3_56	60_CP065887-3_1	32	32	32	1	1.42e-12	0
0_CP059547-3_56	58_CP033768-3_18	32	32	32	1	1.42e-12	0
0_CP059547-3_56	46_CP059040-3_43	32	32	1	32	1.42e-12	0
0_CP059547-3_56	45_CP046654-3_1	32	32	32	1	1.42e-12	0
0_CP059547-3_56	37_CP015121-3_43	32	32	1	32	1.42e-12	0
0_CP059547-3_56	31_CP018332-1_20	32	32	32	1	1.42e-12	0
0_CP059547-3_56	16_CP059474-5_1	32	32	32	1	1.42e-12	0
0_CP059547-3_56	12_CP091334-5_1	32	32	32	1	1.42e-12	0
0_CP059547-3_56	45_CP045110-3_1	32	32	32	1	1.42e-12	0
0_CP059547-3_56	10_CP065432-4_43	32	32	1	32	1.42e-12	0
0_CP059547-3_56	1_CP059546-3_56	32	32	1	32	1.42e-12	0
0_CP059547-3_56	0_CP059547-3_56	32	32	1	32	1.42e-12	0
0_CP059547-3_12	1_CP059546-3_12	32	32	1	32	1.42e-12	0
0_CP059547-3_12	0_CP059547-3_12	32	32	1	32	1.42e-12	0
0_CP059547-3_27	1_CP059546-3_27	32	32	1	32	1.42e-12	0
0_CP059547-3_27	0_CP059547-3_27	32	32	1	32	1.42e-12	0
0_CP059547-3_48	73_CP058289-3_36	32	32	1	32	1.42e-12	0
0_CP059547-3_48	60_CP065887-3_8	32	32	32	1	1.42e-12	0
0_CP059547-3_48	46_CP059040-3_36	32	32	1	32	1.42e-12	0
0_CP059547-3_48	45_CP046654-3_8	32	32	32	1	1.42e-12	0
0_CP059547-3_48	37_CP015121-3_36	32	32	1	32	1.42e-12	0
0_CP059547-3_48	12_CP091334-5_8	32	32	32	1	1.42e-12	0
0_CP059547-3_48	45_CP045110-3_8	32	32	32	1	1.42e-12	0
0_CP059547-3_48	10_CP065432-4_36	32	32	1	32	1.42e-12	0
0_CP059547-3_48	1_CP059546-3_48	32	32	1	32	1.42e-12	0
0_CP059547-3_48	0_CP059547-3_48	32	32	1	32	1.42e-12	0
0_CP059547-3_2	1_CP059546-3_2	32	32	1	32	1.42e-12	0
0_CP059547-3_2	0_CP059547-3_2	32	32	1	32	1.42e-12	0
0_CP059547-3_7	1_CP059546-3_7	32	32	1	32	1.42e-12	0
0_CP059547-3_7	0_CP059547-3_7	32	32	1	32	1.42e-12	0
0_CP059547-3_49	73_CP058289-3_37	32	32	1	32	1.42e-12	0
0_CP059547-3_49	60_CP065887-3_7	32	32	32	1	1.42e-12	0
0_CP059547-3_49	46_CP059040-3_37	32	32	1	32	1.42e-12	0
0_CP059547-3_49	45_CP046654-3_7	32	32	32	1	1.42e-12	0
0_CP059547-3_49	37_CP015121-3_37	32	32	1	32	1.42e-12	0
0_CP059547-3_49	12_CP091334-5_7	32	32	32	1	1.42e-12	0
0_CP059547-3_49	45_CP045110-3_7	32	32	32	1	1.42e-12	0
0_CP059547-3_49	10_CP065432-4_37	32	32	1	32	1.42e-12	0
0_CP059547-3_49	1_CP059546-3_49	32	32	1	32	1.42e-12	0
0_CP059547-3_49	0_CP059547-3_49	32	32	1	32	1.42e-12	0
0_CP059547-3_33	73_CP058289-3_20	32	32	1	32	1.42e-12	0
0_CP059547-3_33	60_CP065887-3_24	32	32	32	1	1.42e-12	0
0_CP059547-3_33	46_CP059040-3_20	32	32	1	32	1.42e-12	0
0_CP059547-3_33	45_CP046654-3_24	32	32	32	1	1.42e-12	0
0_CP059547-3_33	37_CP015121-3_20	32	32	1	32	1.42e-12	0
0_CP059547-3_33	12_CP091334-5_24	32	32	32	1	1.42e-12	0
0_CP059547-3_33	45_CP045110-3_24	32	32	32	1	1.42e-12	0
0_CP059547-3_33	10_CP065432-4_20	32	32	1	32	1.42e-12	0
0_CP059547-3_33	1_CP059546-3_33	32	32	1	32	1.42e-12	0
0_CP059547-3_33	0_CP059547-3_33	32	32	1	32	1.42e-12	0
0_CP059547-3_46	73_CP058289-3_34	32	32	1	32	1.42e-12	0
0_CP059547-3_46	60_CP065887-3_10	32	32	32	1	1.42e-12	0
0_CP059547-3_46	46_CP059040-3_34	32	32	1	32	1.42e-12	0
0_CP059547-3_46	45_CP046654-3_10	32	32	32	1	1.42e-12	0
0_CP059547-3_46	37_CP015121-3_34	32	32	1	32	1.42e-12	0
0_CP059547-3_46	12_CP091334-5_10	32	32	32	1	1.42e-12	0
0_CP059547-3_46	45_CP045110-3_10	32	32	32	1	1.42e-12	0
0_CP059547-3_46	10_CP065432-4_34	32	32	1	32	1.42e-12	0
0_CP059547-3_46	1_CP059546-3_46	32	32	1	32	1.42e-12	0
0_CP059547-3_46	0_CP059547-3_46	32	32	1	32	1.42e-12	0
0_CP059547-3_32	73_CP058289-3_19	32	32	1	32	1.42e-12	0
0_CP059547-3_32	60_CP065887-3_25	32	32	32	1	1.42e-12	0
0_CP059547-3_32	46_CP059040-3_19	32	32	1	32	1.42e-12	0
0_CP059547-3_32	45_CP046654-3_25	32	32	32	1	1.42e-12	0
0_CP059547-3_32	37_CP015121-3_19	32	32	1	32	1.42e-12	0
0_CP059547-3_32	12_CP091334-5_25	32	32	32	1	1.42e-12	0
0_CP059547-3_32	45_CP045110-3_25	32	32	32	1	1.42e-12	0
0_CP059547-3_32	10_CP065432-4_19	32	32	1	32	1.42e-12	0
0_CP059547-3_32	1_CP059546-3_32	32	32	1	32	1.42e-12	0
0_CP059547-3_32	0_CP059547-3_32	32	32	1	32	1.42e-12	0
0_CP059547-3_25	1_CP059546-3_25	32	32	1	32	1.42e-12	0
0_CP059547-3_25	0_CP059547-3_25	32	32	1	32	1.42e-12	0
0_CP059547-3_36	73_CP058289-3_24	32	32	1	32	1.42e-12	0
0_CP059547-3_36	60_CP065887-3_20	32	32	32	1	1.42e-12	0
0_CP059547-3_36	46_CP059040-3_24	32	32	1	32	1.42e-12	0
0_CP059547-3_36	45_CP046654-3_20	32	32	32	1	1.42e-12	0
0_CP059547-3_36	37_CP015121-3_24	32	32	1	32	1.42e-12	0
0_CP059547-3_36	12_CP091334-5_20	32	32	32	1	1.42e-12	0
0_CP059547-3_36	45_CP045110-3_20	32	32	32	1	1.42e-12	0
0_CP059547-3_36	10_CP065432-4_24	32	32	1	32	1.42e-12	0
0_CP059547-3_36	1_CP059546-3_36	32	32	1	32	1.42e-12	0
0_CP059547-3_36	0_CP059547-3_36	32	32	1	32	1.42e-12	0
0_CP059547-3_51	73_CP058289-3_38	32	32	1	32	1.42e-12	0
0_CP059547-3_51	60_CP065887-3_6	32	32	32	1	1.42e-12	0
0_CP059547-3_51	46_CP059040-3_38	32	32	1	32	1.42e-12	0
0_CP059547-3_51	45_CP046654-3_6	32	32	32	1	1.42e-12	0
0_CP059547-3_51	37_CP015121-3_38	32	32	1	32	1.42e-12	0
0_CP059547-3_51	12_CP091334-5_6	32	32	32	1	1.42e-12	0
0_CP059547-3_51	45_CP045110-3_6	32	32	32	1	1.42e-12	0
0_CP059547-3_51	10_CP065432-4_38	32	32	1	32	1.42e-12	0
0_CP059547-3_51	1_CP059546-3_51	32	32	1	32	1.42e-12	0
0_CP059547-3_51	0_CP059547-3_51	32	32	1	32	1.42e-12	0
0_CP059547-3_50	1_CP059546-3_50	32	32	1	32	1.42e-12	0
0_CP059547-3_50	0_CP059547-3_50	32	32	1	32	1.42e-12	0
0_CP059547-3_42	73_CP058289-3_30	32	32	1	32	1.42e-12	0
0_CP059547-3_42	60_CP065887-3_14	32	32	32	1	1.42e-12	0
0_CP059547-3_42	46_CP059040-3_30	32	32	1	32	1.42e-12	0
0_CP059547-3_42	45_CP046654-3_14	32	32	32	1	1.42e-12	0
0_CP059547-3_42	37_CP015121-3_30	32	32	1	32	1.42e-12	0
0_CP059547-3_42	12_CP091334-5_14	32	32	32	1	1.42e-12	0
0_CP059547-3_42	45_CP045110-3_14	32	32	32	1	1.42e-12	0
0_CP059547-3_42	10_CP065432-4_30	32	32	1	32	1.42e-12	0
0_CP059547-3_42	1_CP059546-3_42	32	32	1	32	1.42e-12	0
0_CP059547-3_42	0_CP059547-3_42	32	32	1	32	1.42e-12	0
0_CP059547-3_47	73_CP058289-3_35	32	32	1	32	1.42e-12	0
0_CP059547-3_47	60_CP065887-3_9	32	32	32	1	1.42e-12	0
0_CP059547-3_47	46_CP059040-3_35	32	32	1	32	1.42e-12	0
0_CP059547-3_47	45_CP046654-3_9	32	32	32	1	1.42e-12	0
0_CP059547-3_47	37_CP015121-3_35	32	32	1	32	1.42e-12	0
0_CP059547-3_47	12_CP091334-5_9	32	32	32	1	1.42e-12	0
0_CP059547-3_47	45_CP045110-3_9	32	32	32	1	1.42e-12	0
0_CP059547-3_47	10_CP065432-4_35	32	32	1	32	1.42e-12	0
0_CP059547-3_47	1_CP059546-3_47	32	32	1	32	1.42e-12	0
0_CP059547-3_47	0_CP059547-3_47	32	32	1	32	1.42e-12	0
0_CP059547-3_13	1_CP059546-3_13	32	32	1	32	1.42e-12	0
0_CP059547-3_13	0_CP059547-3_13	32	32	1	32	1.42e-12	0
0_CP059547-3_9	1_CP059546-3_9	32	32	1	32	1.42e-12	0
0_CP059547-3_9	0_CP059547-3_9	32	32	1	32	1.42e-12	0
0_CP059547-3_16	1_CP059546-3_16	32	32	1	32	1.42e-12	0
0_CP059547-3_16	0_CP059547-3_16	32	32	1	32	1.42e-12	0
0_CP059547-3_16	67_CP050385-1_15	32	32	1	31	5.12e-12	0
0_CP059547-3_16	65_CP032215-1_15	32	32	1	31	5.12e-12	0
0_CP059547-3_16	64_CP040259-1_15	32	32	1	31	5.12e-12	0
0_CP059547-3_16	61_CP020597-1_15	32	32	1	31	5.12e-12	0
0_CP059547-3_16	53_CP048131-1_15	32	32	1	31	5.12e-12	0
0_CP059547-3_16	43_CP027530-1_15	32	32	1	31	5.12e-12	0
0_CP059547-3_16	26_CP022283-1_30	32	32	32	2	5.12e-12	0
0_CP059547-3_16	21_CP091596-1_33	32	32	32	2	5.12e-12	0
0_CP059547-3_23	1_CP059546-3_28	32	32	1	32	1.42e-12	0
0_CP059547-3_23	1_CP059546-3_23	32	32	1	32	1.42e-12	0
0_CP059547-3_23	0_CP059547-3_23	32	32	1	32	1.42e-12	0
0_CP059547-3_23	0_CP059547-3_28	32	32	1	32	1.42e-12	0
0_CP059547-3_3	1_CP059546-3_3	32	32	1	32	1.42e-12	0
0_CP059547-3_3	0_CP059547-3_3	32	32	1	32	1.42e-12	0
0_CP059547-3_22	1_CP059546-3_22	32	32	1	32	1.42e-12	0
0_CP059547-3_22	0_CP059547-3_22	32	32	1	32	1.42e-12	0
0_CP059547-3_24	39_CP059300-1_9	32	32	1	32	1.42e-12	0
0_CP059547-3_24	1_CP059546-3_24	32	32	1	32	1.42e-12	0
0_CP059547-3_24	1_CP059546-3_29	32	32	1	32	1.42e-12	0
0_CP059547-3_24	0_CP059547-3_24	32	32	1	32	1.42e-12	0
0_CP059547-3_24	0_CP059547-3_29	32	32	1	32	1.42e-12	0
0_CP059547-3_30	1_CP059546-3_30	32	32	1	32	1.42e-12	0
0_CP059547-3_30	0_CP059547-3_30	32	32	1	32	1.42e-12	0
0_CP059547-3_38	73_CP058289-3_26	32	32	1	32	1.42e-12	0
0_CP059547-3_38	60_CP065887-3_18	32	32	32	1	1.42e-12	0
0_CP059547-3_38	46_CP059040-3_26	32	32	1	32	1.42e-12	0
0_CP059547-3_38	45_CP046654-3_18	32	32	32	1	1.42e-12	0
0_CP059547-3_38	37_CP015121-3_26	32	32	1	32	1.42e-12	0
0_CP059547-3_38	16_CP059474-5_4	32	32	32	1	1.42e-12	0
0_CP059547-3_38	12_CP091334-5_18	32	32	32	1	1.42e-12	0
0_CP059547-3_38	45_CP045110-3_18	32	32	32	1	1.42e-12	0
0_CP059547-3_38	10_CP065432-4_26	32	32	1	32	1.42e-12	0
0_CP059547-3_38	1_CP059546-3_38	32	32	1	32	1.42e-12	0
0_CP059547-3_38	0_CP059547-3_38	32	32	1	32	1.42e-12	0
0_CP059547-3_17	1_CP059546-3_17	32	32	1	32	1.42e-12	0
0_CP059547-3_17	0_CP059547-3_17	32	32	1	32	1.42e-12	0
0_CP059547-3_39	73_CP058289-3_27	32	32	1	32	1.42e-12	0
0_CP059547-3_39	60_CP065887-3_17	32	32	32	1	1.42e-12	0
0_CP059547-3_39	46_CP059040-3_27	32	32	1	32	1.42e-12	0
0_CP059547-3_39	45_CP046654-3_17	32	32	32	1	1.42e-12	0
0_CP059547-3_39	37_CP015121-3_27	32	32	1	32	1.42e-12	0
0_CP059547-3_39	12_CP091334-5_17	32	32	32	1	1.42e-12	0
0_CP059547-3_39	45_CP045110-3_17	32	32	32	1	1.42e-12	0
0_CP059547-3_39	10_CP065432-4_27	32	32	1	32	1.42e-12	0
0_CP059547-3_39	1_CP059546-3_39	32	32	1	32	1.42e-12	0
0_CP059547-3_39	0_CP059547-3_39	32	32	1	32	1.42e-12	0
0_CP059547-3_40	73_CP058289-3_28	32	32	1	32	1.42e-12	0
0_CP059547-3_40	60_CP065887-3_16	32	32	32	1	1.42e-12	0
0_CP059547-3_40	46_CP059040-3_28	32	32	1	32	1.42e-12	0
0_CP059547-3_40	45_CP046654-3_16	32	32	32	1	1.42e-12	0
0_CP059547-3_40	37_CP015121-3_28	32	32	1	32	1.42e-12	0
0_CP059547-3_40	12_CP091334-5_16	32	32	32	1	1.42e-12	0
0_CP059547-3_40	45_CP045110-3_16	32	32	32	1	1.42e-12	0
0_CP059547-3_40	10_CP065432-4_28	32	32	1	32	1.42e-12	0
0_CP059547-3_40	1_CP059546-3_40	32	32	1	32	1.42e-12	0
0_CP059547-3_40	0_CP059547-3_40	32	32	1	32	1.42e-12	0
0_CP059547-3_21	1_CP059546-3_21	32	32	1	32	1.42e-12	0
0_CP059547-3_21	0_CP059547-3_21	32	32	1	32	1.42e-12	0
0_CP059547-3_57	73_CP058289-3_44	32	32	1	32	1.42e-12	0
0_CP059547-3_57	70_CP046536-1_24	32	32	32	1	1.42e-12	0
0_CP059547-3_57	62_CP041587-1_16	32	37	37	6	1.42e-12	0
0_CP059547-3_57	60_CP065887-3_0	32	32	32	1	1.42e-12	0
0_CP059547-3_57	58_CP033768-3_17	32	32	32	1	1.42e-12	0
0_CP059547-3_57	48_CP047973-3_109	32	32	1	32	1.42e-12	0
0_CP059547-3_57	46_CP059040-3_44	32	32	1	32	1.42e-12	0
0_CP059547-3_57	45_CP046654-3_0	32	32	32	1	1.42e-12	0
0_CP059547-3_57	37_CP015121-3_44	32	32	1	32	1.42e-12	0
0_CP059547-3_57	31_CP018332-1_18	32	32	32	1	1.42e-12	0
0_CP059547-3_57	16_CP059474-5_0	32	32	32	1	1.42e-12	0
0_CP059547-3_57	12_CP091334-5_0	32	32	32	1	1.42e-12	0
0_CP059547-3_57	45_CP045110-3_0	32	32	32	1	1.42e-12	0
0_CP059547-3_57	10_CP065432-4_44	32	32	1	32	1.42e-12	0
0_CP059547-3_57	1_CP059546-3_57	32	32	1	32	1.42e-12	0
0_CP059547-3_57	0_CP059547-3_57	32	32	1	32	1.42e-12	0
0_CP059547-3_52	73_CP058289-3_39	32	32	1	32	1.42e-12	0
0_CP059547-3_52	60_CP065887-3_5	32	32	32	1	1.42e-12	0
0_CP059547-3_52	46_CP059040-3_39	32	32	1	32	1.42e-12	0
0_CP059547-3_52	45_CP046654-3_5	32	32	32	1	1.42e-12	0
0_CP059547-3_52	37_CP015121-3_39	32	32	1	32	1.42e-12	0
0_CP059547-3_52	12_CP091334-5_5	32	32	32	1	1.42e-12	0
0_CP059547-3_52	45_CP045110-3_5	32	32	32	1	1.42e-12	0
0_CP059547-3_52	10_CP065432-4_39	32	32	1	32	1.42e-12	0
0_CP059547-3_52	1_CP059546-3_52	32	32	1	32	1.42e-12	0
0_CP059547-3_52	0_CP059547-3_52	32	32	1	32	1.42e-12	0
